epi,end_time_step,total_return
180.0,637.0,189.0
181.0,701.0,210.0
182.0,605.0,168.0
183.0,669.0,210.0
184.0,850.0,210.0
185.0,733.0,189.0
186.0,679.0,210.0
187.0,658.0,210.0
188.0,893.0,420.0
189.0,818.0,294.0
190.0,701.0,189.0
191.0,775.0,357.0
192.0,520.0,210.0
193.0,818.0,210.0
194.0,853.0,273.0
195.0,342.0,21.0
196.0,829.0,189.0
197.0,893.0,357.0
198.0,872.0,399.0
199.0,775.0,315.0
200.0,914.0,378.0
201.0,914.0,294.0
202.0,882.0,252.0
203.0,754.0,294.0
204.0,786.0,252.0
205.0,840.0,294.0
206.0,957.0,462.0
207.0,597.0,252.0
208.0,639.0,252.0
209.0,626.0,231.0
210.0,690.0,273.0
211.0,775.0,189.0
212.0,903.0,420.0
213.0,733.0,189.0
214.0,722.0,168.0
215.0,893.0,336.0
216.0,725.0,273.0
217.0,765.0,189.0
218.0,722.0,231.0
219.0,925.0,336.0
220.0,818.0,336.0
221.0,839.0,273.0
222.0,541.0,168.0
223.0,765.0,336.0
224.0,786.0,294.0
225.0,555.0,189.0
226.0,829.0,294.0
227.0,552.0,252.0
228.0,597.0,189.0
229.0,712.0,252.0
230.0,477.0,189.0
231.0,829.0,294.0
232.0,722.0,189.0
233.0,829.0,336.0
234.0,679.0,189.0
235.0,555.0,168.0
236.0,701.0,210.0
237.0,594.0,168.0
238.0,648.0,126.0
239.0,850.0,231.0
240.0,648.0,252.0
241.0,776.0,294.0
242.0,744.0,252.0
243.0,768.0,315.0
244.0,477.0,126.0
245.0,690.0,210.0
246.0,658.0,189.0
247.0,712.0,336.0
248.0,626.0,273.0
249.0,904.0,336.0
250.0,583.0,105.0
251.0,597.0,189.0
252.0,648.0,252.0
253.0,925.0,315.0
254.0,488.0,168.0
255.0,967.0,336.0
256.0,853.0,399.0
257.0,725.0,231.0
258.0,840.0,336.0
259.0,989.0,357.0
260.0,683.0,189.0
261.0,726.0,189.0
262.0,470.0,147.0
263.0,743.0,294.0
264.0,807.0,231.0
265.0,808.0,231.0
266.0,938.0,357.0
267.0,743.0,189.0
268.0,775.0,252.0
269.0,512.0,189.0
270.0,683.0,189.0
271.0,839.0,378.0
272.0,466.0,252.0
273.0,477.0,210.0
274.0,776.0,189.0
275.0,701.0,168.0
276.0,829.0,315.0
277.0,861.0,210.0
278.0,616.0,189.0
279.0,935.0,336.0
280.0,658.0,189.0
281.0,840.0,336.0
282.0,512.0,126.0
283.0,818.0,336.0
284.0,722.0,210.0
285.0,626.0,252.0
286.0,861.0,252.0
287.0,615.0,252.0
288.0,989.0,525.0
289.0,957.0,378.0
290.0,626.0,252.0
291.0,765.0,273.0
292.0,808.0,189.0
293.0,682.0,294.0
294.0,786.0,189.0
295.0,904.0,252.0
296.0,810.0,294.0
297.0,776.0,399.0
298.0,895.0,315.0
299.0,712.0,273.0
300.0,850.0,378.0
301.0,637.0,189.0
302.0,853.0,231.0
303.0,647.0,168.0
304.0,840.0,231.0
305.0,861.0,231.0
306.0,669.0,189.0
307.0,626.0,189.0
308.0,946.0,441.0
309.0,893.0,294.0
310.0,872.0,336.0
311.0,648.0,252.0
312.0,840.0,252.0
313.0,640.0,231.0
314.0,669.0,126.0
315.0,690.0,252.0
316.0,853.0,189.0
317.0,850.0,294.0
318.0,765.0,294.0
319.0,512.0,147.0
320.0,754.0,273.0
321.0,871.0,252.0
322.0,640.0,210.0
323.0,384.0,168.0
324.0,701.0,252.0
325.0,871.0,252.0
326.0,690.0,252.0
327.0,810.0,399.0
328.0,639.0,294.0
329.0,701.0,294.0
330.0,658.0,336.0
331.0,598.0,189.0
332.0,554.0,231.0
333.0,722.0,294.0
334.0,626.0,189.0
335.0,594.0,189.0
336.0,1024.0,357.0
337.0,872.0,231.0
338.0,669.0,231.0
339.0,829.0,336.0
340.0,701.0,189.0
341.0,754.0,168.0
342.0,818.0,273.0
343.0,946.0,399.0
344.0,807.0,315.0
345.0,669.0,273.0
346.0,767.0,378.0
347.0,640.0,189.0
348.0,818.0,210.0
349.0,725.0,252.0
350.0,690.0,231.0
351.0,626.0,210.0
352.0,306.0,168.0
353.0,810.0,315.0
354.0,808.0,399.0
355.0,829.0,252.0
356.0,882.0,210.0
357.0,767.0,357.0
358.0,640.0,168.0
359.0,850.0,357.0
360.0,768.0,210.0
361.0,626.0,189.0
362.0,605.0,252.0
363.0,637.0,189.0
364.0,872.0,378.0
365.0,767.0,315.0
366.0,658.0,273.0
367.0,775.0,252.0
368.0,640.0,273.0
369.0,903.0,336.0
370.0,871.0,378.0
371.0,598.0,189.0
372.0,637.0,147.0
373.0,605.0,168.0
374.0,765.0,273.0
375.0,810.0,210.0
376.0,768.0,315.0
377.0,647.0,189.0
378.0,850.0,357.0
379.0,818.0,273.0
380.0,818.0,231.0
381.0,840.0,231.0
382.0,594.0,147.0
383.0,893.0,231.0
384.0,541.0,189.0
385.0,701.0,252.0
386.0,555.0,189.0
387.0,584.0,126.0
388.0,882.0,399.0
389.0,850.0,336.0
390.0,725.0,189.0
391.0,701.0,210.0
392.0,605.0,189.0
393.0,776.0,210.0
394.0,871.0,357.0
395.0,811.0,315.0
396.0,616.0,126.0
397.0,786.0,210.0
398.0,726.0,315.0
399.0,640.0,252.0
400.0,640.0,189.0
401.0,925.0,315.0
402.0,853.0,336.0
403.0,639.0,252.0
404.0,768.0,378.0
405.0,690.0,231.0
406.0,765.0,273.0
407.0,626.0,168.0
408.0,669.0,315.0
409.0,776.0,231.0
410.0,733.0,210.0
411.0,434.0,189.0
412.0,872.0,378.0
413.0,839.0,399.0
414.0,904.0,357.0
415.0,850.0,336.0
416.0,744.0,378.0
417.0,1031.0,399.0
418.0,893.0,294.0
419.0,808.0,231.0
420.0,882.0,378.0
421.0,786.0,210.0
422.0,850.0,273.0
423.0,597.0,231.0
424.0,765.0,210.0
425.0,605.0,210.0
426.0,725.0,273.0
427.0,554.0,252.0
428.0,829.0,315.0
429.0,936.0,273.0
430.0,904.0,378.0
431.0,797.0,189.0
432.0,989.0,399.0
433.0,456.0,168.0
434.0,925.0,336.0
435.0,808.0,315.0
436.0,775.0,231.0
437.0,658.0,189.0
438.0,882.0,399.0
439.0,520.0,189.0
440.0,470.0,210.0
441.0,744.0,273.0
442.0,680.0,168.0
443.0,840.0,315.0
444.0,669.0,189.0
445.0,647.0,126.0
446.0,818.0,315.0
447.0,470.0,168.0
448.0,968.0,441.0
449.0,957.0,378.0
450.0,648.0,210.0
451.0,897.0,378.0
452.0,850.0,252.0
453.0,818.0,252.0
454.0,512.0,189.0
455.0,786.0,294.0
456.0,680.0,210.0
457.0,744.0,273.0
458.0,306.0,105.0
459.0,850.0,252.0
460.0,810.0,294.0
461.0,810.0,273.0
462.0,456.0,189.0
463.0,584.0,168.0
464.0,470.0,189.0
465.0,903.0,336.0
466.0,512.0,168.0
467.0,658.0,273.0
468.0,786.0,294.0
469.0,818.0,189.0
470.0,786.0,168.0
471.0,683.0,252.0
472.0,605.0,189.0
473.0,669.0,273.0
474.0,616.0,147.0
475.0,626.0,189.0
476.0,712.0,189.0
477.0,669.0,336.0
478.0,616.0,189.0
479.0,765.0,273.0
480.0,797.0,273.0
481.0,679.0,168.0
482.0,840.0,210.0
483.0,555.0,147.0
484.0,512.0,126.0
485.0,733.0,189.0
486.0,957.0,357.0
487.0,754.0,189.0
488.0,477.0,189.0
489.0,690.0,294.0
490.0,808.0,210.0
491.0,861.0,294.0
492.0,680.0,273.0
493.0,669.0,189.0
494.0,904.0,294.0
495.0,605.0,210.0
496.0,765.0,210.0
497.0,744.0,378.0
498.0,818.0,315.0
499.0,754.0,294.0
0.0,818.0,357.0
